Date,Volume,Adj Close(dividends and splits),30D avg price,30D annualised volatility,Annualised
2017-01-03,3770530000,2257.83,,,
2017-01-04,3764890000,2270.75,,,
2017-01-05,3761820000,2269.0,,,
2017-01-06,3339890000,2276.98,,,
2017-01-09,3217610000,2268.9,,,
2017-01-10,3638790000,2268.9,,,
2017-01-11,3620410000,2275.32,,,
2017-01-12,3462130000,2270.44,,,
2017-01-13,3081270000,2274.64,,,
2017-01-17,3584990000,2267.89,,,
2017-01-18,3315250000,2271.89,,,
2017-01-19,3165970000,2263.69,,,
2017-01-20,3524970000,2271.31,,,
2017-01-23,3152710000,2265.2,,,
2017-01-24,3810960000,2280.07,,,
2017-01-25,3846020000,2298.37,,,
2017-01-26,3610360000,2296.68,,,
2017-01-27,3135890000,2294.69,,,
2017-01-30,3591270000,2280.9,,,
2017-01-31,4087450000,2278.87,,,
2017-02-01,3916610000,2279.55,,,
2017-02-02,3807710000,2280.85,,,
2017-02-03,3597970000,2297.42,,,
2017-02-06,3109050000,2292.56,,,
2017-02-07,3448690000,2293.08,,,
2017-02-08,3609740000,2294.67,,,
2017-02-09,3677940000,2307.87,,,
2017-02-10,3475020000,2316.1,,,
2017-02-13,3349730000,2328.25,,,
2017-02-14,3520910000,2337.58,2284.341666666667,305.0475341251929,
2017-02-15,3775590000,2349.25,2287.3890000000006,348.045688124515,0.05768741194373192
2017-02-16,3672370000,2347.22,2289.9380000000006,384.89347933305095,0.0564756297113818
2017-02-17,3513060000,2351.16,2292.676666666667,418.26807599086743,0.05621210824673208
2017-02-21,3579780000,2365.38,2295.6233333333344,465.2689665722092,0.0575835984748829
2017-02-22,3468670000,2362.82,2298.7540000000013,496.9424231631965,0.056215115380451756
2017-02-23,4015260000,2363.81,2301.917666666668,522.8526678757863,0.056140163879643386
2017-02-24,3831570000,2367.34,2304.985000000001,549.5154821890981,0.05597222379749189
2017-02-27,3582610000,2369.75,2308.2953333333344,570.2538828711779,0.05500915550643966
2017-02-28,4210140000,2363.64,2311.262000000001,582.8114737753003,0.05620236030171752
2017-03-01,4345180000,2395.96,2315.5310000000013,617.1785490953553,0.06522810446747822
2017-03-02,3821320000,2381.92,2319.198666666668,631.7851710870696,0.06894299895358347
2017-03-03,3555260000,2383.12,2323.179666666668,635.4145973478721,0.06725926336399421
2017-03-06,3232700000,2375.31,2326.6463333333345,633.1306112774449,0.06859248814371077
2017-03-07,3518390000,2368.39,2330.086000000001,616.5249190433246,0.06871399510773284
2017-03-08,3812100000,2362.98,2332.8496666666674,604.7943138861046,0.06782127135530584
2017-03-09,3716340000,2364.87,2335.066333333334,602.5562870591272,0.06466146240935348
2017-03-10,3432950000,2372.6,2337.597000000001,600.7012827308434,0.06479087524651254
2017-03-13,3133900000,2373.47,2340.223000000001,595.1714667903501,0.06456503748882629
2017-03-14,3172630000,2365.45,2343.0413333333345,571.9333285523433,0.06245159939556468
2017-03-15,3906840000,2385.26,2346.5876666666677,550.9392890778912,0.06543119869158119
2017-03-16,3365660000,2381.38,2349.9820000000013,521.5340012243694,0.06598170117417536
2017-03-17,5178040000,2378.25,2353.228666666668,484.4209564133354,0.06642863014963409
2017-03-20,3054930000,2373.47,2355.7636666666676,457.6940044645061,0.06473424937276685
2017-03-21,4265590000,2344.02,2357.479000000001,418.5720768336371,0.07519649844248591
2017-03-22,3572730000,2348.45,2359.324666666668,372.80684584508555,0.07525021402163751
2017-03-23,3260600000,2345.96,2361.034333333335,321.6369597071373,0.07544451275668546
2017-03-24,2975130000,2343.98,2362.2380000000016,284.67382705898586,0.07405179932873053
2017-03-27,3240230000,2341.59,2363.0876666666677,257.0173813014008,0.0736084193574696
2017-03-28,3367780000,2358.57,2364.0983333333347,235.42024201779927,0.07497837288185139
2017-03-29,3106940000,2361.13,2364.8833333333346,221.87351065647633,0.07424574569214407
2017-03-30,3158420000,2368.06,2365.5103333333345,217.00068625029377,0.07336082873182659
2017-03-31,3354110000,2362.72,2366.0270000000014,210.19124732915984,0.07365884821872966
2017-04-03,3416400000,2358.84,2366.2830000000013,206.61913750865986,0.0737200391715845
2017-04-04,3206240000,2360.16,2366.1090000000013,207.36989826110852,0.07156913531362848
2017-04-05,3770520000,2352.95,2365.7800000000007,210.67688841052285,0.07203986137952195
2017-04-06,3201920000,2357.49,2365.5693333333343,211.98265692234614,0.07227245737226208
2017-04-07,3053150000,2355.54,2365.176000000001,213.8764639757109,0.0721465139048076
2017-04-10,2785410000,2357.16,2364.756333333334,214.64806881705533,0.07210612673325445
2017-04-11,3117420000,2353.78,2364.427666666668,216.98325503801246,0.07184947911971154
2017-04-12,3196950000,2344.93,2362.7266666666674,202.4620548867367,0.05944073197149308
2017-04-13,3143890000,2328.95,2360.9610000000007,216.54269952740103,0.06021883943307693
2017-04-17,2824710000,2349.01,2359.8240000000005,208.63373594360618,0.06598762076469332
2017-04-18,3269840000,2342.19,2358.7200000000007,209.35257441403934,0.06585828547286476
2017-04-19,3519900000,2338.17,2357.7126666666672,215.45550885953978,0.06556146834972
2017-04-20,3647420000,2355.84,2357.4746666666674,214.93182785757676,0.0692313153968759
2017-04-21,3503360000,2348.69,2356.9353333333343,215.2096639414343,0.06969282244688531
2017-04-24,3690650000,2374.15,2356.9870000000005,216.23448884054085,0.07614213342143498
2017-04-25,3995240000,2388.61,2357.4916666666672,230.26039875426932,0.07814116474543316
2017-04-26,4105920000,2387.45,2358.2250000000004,245.2106825174674,0.07742869025075441
2017-04-27,4098460000,2388.77,2358.342000000001,248.75879873953664,0.07358121822212375
2017-04-28,3718270000,2384.2,2358.4360000000006,251.15099949273392,0.07364291544061972
2017-05-01,3199240000,2388.33,2358.7720000000004,259.6178020674569,0.0736818427852043
2017-05-02,3813680000,2391.17,2359.3620000000005,273.04641854705204,0.07344941573385944
2017-05-03,3893990000,2388.13,2360.8323333333337,281.31292533403644,0.0631280547191235
2017-05-04,4362540000,2389.52,2362.201333333334,290.632934137738,0.06301480004847695
2017-05-05,3540140000,2399.29,2363.9790000000003,305.45826913128917,0.06361035448109444
2017-05-08,3429440000,2399.38,2365.825666666667,315.95946754672156,0.06346867361818861
2017-05-09,3653590000,2396.92,2367.6700000000005,319.7518876922433,0.06347006842780939
2017-05-10,3643530000,2399.63,2369.0386666666673,331.52574278575923,0.0604601722802056
2017-05-11,3727420000,2394.44,2370.1490000000003,338.6018665875096,0.06095628662112119
2017-05-12,3305630000,2390.9,2370.9103333333337,343.8080863404718,0.06074977324087151
2017-05-15,3473600000,2402.32,2372.230333333334,354.59806454339883,0.06156547358462318
2017-05-16,3420790000,2400.67,2373.6246666666675,361.5290026883333,0.06133014675111393
2017-05-17,4163000000,2357.03,2373.520333333334,362.65404239795737,0.08198573904192988
2017-05-18,4319420000,2365.72,2373.946000000001,358.2213208695294,0.08215343127869401
2017-05-19,3825160000,2381.73,2374.7540000000004,355.4232317635333,0.08421264541768556
2017-05-22,3172830000,2394.02,2376.0366666666673,354.84386130161676,0.08526377547701848
2017-05-23,3213570000,2398.42,2377.4120000000007,355.91898497773195,0.08534454748544851
2017-05-24,3389900000,2404.39,2379.0990000000006,356.9424668042009,0.08529245058630018
2017-05-25,3535390000,2415.07,2381.437000000001,356.48455320599044,0.08485759044591852
2017-05-26,2805040000,2415.82,2384.332666666668,333.5104362033403,0.08160859314211634
2017-05-30,3203160000,2412.91,2386.462666666668,326.03836261691885,0.07880718824868224
2017-05-31,4516110000,2411.8,2388.7830000000017,305.6856876822715,0.07809557561543747
2017-06-01,3857140000,2430.06,2391.846000000002,289.03846148075615,0.07991805404143416
2017-06-02,3461680000,2439.07,2394.620333333335,299.41614802004545,0.07805527419350446
2017-06-05,2912600000,2436.1,2397.534000000002,289.92474256794907,0.07737936539705234
2017-06-06,3357840000,2429.33,2399.3733333333357,295.3098682564514,0.07260201741988297
2017-06-07,3572300000,2433.14,2400.857666666669,309.0868854545388,0.07088844274035885
2017-06-08,3728860000,2433.79,2402.4023333333357,320.58519048762486,0.07081944257000038
2017-06-09,4027340000,2431.77,2403.8356666666687,328.81435588466695,0.07094932895017703
2017-06-12,4027750000,2429.39,2405.3420000000024,331.438591647215,0.0707124853135401
2017-06-13,3275500000,2440.35,2407.0760000000023,342.3485756097938,0.07154088015881567
2017-06-14,3555590000,2437.92,2408.6343333333357,350.19697523455824,0.07169868345851826
2017-06-15,3353050000,2432.46,2410.1120000000024,351.2095168846225,0.0719791774135367
2017-06-16,5284720000,2433.15,2411.5663333333355,351.7443602841542,0.07198585699177888
2017-06-19,3264700000,2453.46,2413.3720000000026,369.8858801902592,0.07477639693932013
2017-06-20,3416510000,2437.03,2414.627000000002,373.58714315356224,0.07782316807664466
2017-06-21,3594820000,2435.61,2415.9166666666692,374.4798583046183,0.07775681234183643
2017-06-22,3468210000,2434.5,2417.0790000000025,374.93849717444715,0.07778901289452612
2017-06-23,5278330000,2438.3,2418.5410000000024,373.4718560065139,0.07743224733477422
2017-06-26,3238970000,2439.07,2420.1466666666693,368.5541755338455,0.07718458764779454
2017-06-27,3563910000,2419.38,2420.715333333336,364.6799963009395,0.08017967149738324
2017-06-28,3500800000,2440.69,2422.049333333336,364.0096328698639,0.08385554144520993
2017-06-29,3900280000,2419.7,2424.138333333336,307.6974306146879,0.06842779521731614
2017-06-30,3361590000,2423.41,2426.0613333333363,253.10690597804177,0.06794424086781506
2017-07-03,1962290000,2429.01,2427.6373333333363,215.43832289956555,0.06574195548695168
2017-07-05,3367220000,2432.54,2428.921333333336,190.71536843481135,0.06440309222786335
2017-07-06,3364520000,2409.75,2429.2990000000023,177.32655355154037,0.07035597331868476
2017-07-07,2901330000,2425.18,2429.9920000000025,161.47870517870592,0.07236457885268455
2017-07-10,2999130000,2427.43,2430.404000000002,155.41321621335064,0.07132481293639703
2017-07-11,3106750000,2425.53,2430.727666666668,149.94718721299193,0.07137777852171312
2017-07-12,3171620000,2443.25,2431.7390000000014,144.29637298468808,0.07418735212791507
