Date,Open,Adj Close(dividends and splits),Change,Close to Open Change,Formatted Change,Volume,30D avg price,30D annualised volatility,Annualised
2017-01-04,2261.6,2270.75,0.00572230858833489,0.001669744843500167,1.005722308588335,3764890000,,,
2017-01-05,2268.18,2269.0,-0.0007706704833204681,-0.0011317846526478757,0.9992293295166795,3761820000,,,
2017-01-06,2271.14,2276.98,0.00351696782723665,0.0009431467606874714,1.0035169678272367,3339890000,,,
2017-01-09,2273.59,2268.9,-0.0035485599346501973,-0.0014888141309980206,0.9964514400653498,3217610000,,,
2017-01-10,2269.72,2268.9,0.0,0.0003614086121026528,1.0,3638790000,,,
2017-01-11,2268.6,2275.32,0.002829564987438804,-0.00013222266296451226,1.0028295649874388,3620410000,,,
2017-01-12,2271.14,2270.44,-0.002144753265474808,-0.001837104231492841,0.9978552467345252,3462130000,,,
2017-01-13,2272.74,2274.64,0.0018498617008155804,0.0010130195028275255,1.0018498617008156,3081270000,,,
2017-01-17,2269.14,2267.89,-0.0029675025498540064,-0.002417965040621813,0.997032497450146,3584990000,,,
2017-01-18,2269.14,2271.89,0.0017637539739581154,0.000551173116861929,1.0017637539739581,3315250000,,,
2017-01-19,2271.9,2263.69,-0.0036093296770529637,4.401621557477818e-06,0.996390670322947,3165970000,,,
2017-01-20,2269.96,2271.31,0.003366185299223723,0.0027698138879440125,1.0033661852992237,3524970000,,,
2017-01-23,2267.78,2265.2,-0.0026900775323491777,-0.0015541691799004739,0.9973099224676508,3152710000,,,
2017-01-24,2267.88,2280.07,0.006564541762317022,0.0011831184884338209,1.006564541762317,3810960000,,,
2017-01-25,2288.88,2298.37,0.008026069375062894,0.003863916458705191,1.008026069375063,3846020000,,,
2017-01-26,2298.63,2296.68,-0.0007353037152416642,0.00011312364849881363,0.9992646962847583,3610360000,,,
2017-01-27,2299.02,2294.69,-0.000866468119198105,0.0010188620095094422,0.9991335318808019,3135890000,,,
2017-01-30,2286.01,2280.9,-0.006009526341248739,-0.003782646021902669,0.9939904736587513,3591270000,,,
