Date,Open,Adj Close(dividends and splits),Change,Close to Open Change
2017-01-04,2261.6,2270.75,0.00572230858833489,0.001669744843500167
2017-01-05,2268.18,2269.0,-0.0007706704833204681,-0.0011317846526478757
2017-01-06,2271.14,2276.98,0.00351696782723665,0.0009431467606874714
2017-01-09,2273.59,2268.9,-0.0035485599346501973,-0.0014888141309980206
2017-01-10,2269.72,2268.9,0.0,0.0003614086121026528
2017-01-11,2268.6,2275.32,0.002829564987438804,-0.00013222266296451226
2017-01-12,2271.14,2270.44,-0.002144753265474808,-0.001837104231492841
2017-01-13,2272.74,2274.64,0.0018498617008155804,0.0010130195028275255
2017-01-17,2269.14,2267.89,-0.0029675025498540064,-0.002417965040621813
2017-01-18,2269.14,2271.89,0.0017637539739581154,0.000551173116861929
2017-01-19,2271.9,2263.69,-0.0036093296770529637,4.401621557477818e-06
2017-01-20,2269.96,2271.31,0.003366185299223723,0.0027698138879440125
2017-01-23,2267.78,2265.2,-0.0026900775323491777,-0.0015541691799004739
2017-01-24,2267.88,2280.07,0.006564541762317022,0.0011831184884338209
2017-01-25,2288.88,2298.37,0.008026069375062894,0.003863916458705191
2017-01-26,2298.63,2296.68,-0.0007353037152416642,0.00011312364849881363
2017-01-27,2299.02,2294.69,-0.000866468119198105,0.0010188620095094422
2017-01-30,2286.01,2280.9,-0.006009526341248739,-0.003782646021902669
2017-01-31,2274.02,2278.87,-0.0008899995615766487,-0.0030163531939147305
2017-02-01,2285.59,2279.55,0.00029839350204285964,0.0029488299025395284
2017-02-02,2276.69,2280.85,0.0005702879954376794,-0.001254633589962987
2017-02-03,2288.54,2297.42,0.007264835478001608,0.003371550080014054
2017-02-06,2294.28,2292.56,-0.002115416423640437,-0.0013667505288540505
2017-02-07,2295.87,2293.08,0.00022682067208701362,0.0014438008165543958
2017-02-08,2289.55,2294.67,0.0006933905489561187,-0.001539414237619161
2017-02-09,2296.7,2307.87,0.0057524611382027135,0.0008846587962538165
2017-02-10,2312.27,2316.1,0.0035660587468098193,0.001906519864637129
2017-02-13,2321.72,2328.25,0.005245887483269263,0.0024264928111911795
2017-02-14,2326.12,2337.58,0.004007301621389514,-0.0009148502093847779
2017-02-15,2335.58,2349.25,0.004992342508064018,-0.0008555856911849006
2017-02-16,2349.64,2347.22,-0.0008641055656061214,0.00016601042886022036
2017-02-17,2343.01,2351.16,0.0016785814708464297,-0.0017936111655488544
2017-02-21,2354.91,2365.38,0.00604807839534538,0.0015949573827387332
2017-02-22,2361.11,2362.82,-0.0010822785345272479,-0.0018052067743871943
2017-02-23,2367.5,2363.81,0.00041899086684549225,0.0019806840978152528
2017-02-24,2355.73,2367.34,0.001493351834538359,-0.003418210431464427
2017-02-27,2365.23,2369.75,0.001018020225231675,-0.0008912957158668071
2017-02-28,2366.08,2363.64,-0.0025783310475788745,-0.001548686570313355
2017-03-01,2380.13,2395.96,0.013673825117192173,0.006976527728418979
2017-03-02,2394.75,2381.92,-0.0058598641045760624,-0.0005050167782433916
2017-03-03,2380.92,2383.12,0.0005037952576072424,-0.00041982938133942367
2017-03-06,2375.23,2375.31,-0.0032772164221692712,-0.0033107858605524996
2017-03-07,2370.74,2368.39,-0.0029133039476952893,-0.0019239593989837805
2017-03-08,2369.81,2362.98,-0.0022842521713062336,0.0005995634164981581
2017-03-09,2363.49,2364.87,0.0007998374933346764,0.00021582916486799023
2017-03-10,2372.52,2372.6,0.0032686786165836423,0.0032348501186112094
2017-03-13,2371.56,2373.47,0.00036668633566550035,-0.00043833768861163436
2017-03-14,2368.55,2365.45,-0.0033790189048102937,-0.00207291434060663
2017-03-15,2370.34,2385.26,0.008374727853051489,0.0020672599294004643
2017-03-16,2387.71,2381.38,-0.001626657052061442,0.0010271416952448865
2017-03-17,2383.71,2378.25,-0.0013143639402364293,0.0009784242750001794
2017-03-20,2378.24,2373.47,-0.00200988121517931,-4.204772416784728e-06
2017-03-21,2379.32,2344.02,-0.012407993359932812,0.0024647457098679842
2017-03-22,2343.0,2348.45,0.0018899156150544716,-0.0004351498707348836
2017-03-23,2345.97,2345.96,-0.0010602737976110888,-0.0010560156699099485
2017-03-24,2350.42,2343.98,-0.0008440041603438031,0.0019011406844106618
2017-03-27,2329.11,2341.59,-0.0010196332733214408,-0.006343910784221662
2017-03-28,2339.79,2358.57,0.007251482966702083,-0.0007687084416999482
2017-03-29,2356.54,2361.13,0.0010854034436120763,-0.0008606910119268031
2017-03-30,2361.31,2368.06,0.0029350353432466836,7.62346842401038e-05
2017-03-31,2364.82,2362.72,-0.002255010430479043,-0.0013682085757961292
2017-04-03,2362.34,2358.84,-0.0016421751202002621,-0.00016083158393701092
2017-04-04,2354.76,2360.16,0.0005595970900948988,-0.0017296637330212845
2017-04-05,2366.59,2352.95,-0.0030548776354145657,0.0027243915666735692
2017-04-06,2353.79,2357.49,0.0019294927644020188,0.0003569986612550822
2017-04-07,2356.59,2355.54,-0.0008271509105022279,-0.0003817619586932018
2017-04-10,2357.16,2357.16,0.0006877403907383783,0.0006877403907383831
2017-04-11,2353.92,2353.78,-0.0014339289653649834,-0.00137453545792385
2017-04-12,2352.15,2344.93,-0.0037599095922304926,-0.0006925031226368263
2017-04-13,2341.98,2328.95,-0.006814702357852864,-0.0012580332888401011
2017-04-17,2332.62,2349.01,0.008613323600764389,0.0015758174284549145
2017-04-18,2342.53,2342.19,-0.0029033507733046138,-0.002758608945896364
2017-04-19,2346.79,2338.17,-0.0017163423974997372,0.0019639738876862716
2017-04-20,2342.69,2355.84,0.007557192163101911,0.0019331357429100457
2017-04-21,2354.74,2348.69,-0.0030350108666123976,-0.0004669247487097442
2017-04-24,2370.33,2374.15,0.010840085324159476,0.009213646756276849
2017-04-25,2381.51,2388.61,0.006090600846618832,0.0031000568624560904
2017-04-26,2388.98,2387.45,-0.0004856380907726221,0.00015490180481530716
2017-04-27,2389.7,2388.77,0.0005528911600243269,0.0009424281136777734
2017-04-28,2393.68,2384.2,-0.0019131184668260692,0.002055451131753938
2017-05-01,2388.5,2388.33,0.00173223722842053,0.0018035399714789791
2017-05-02,2391.05,2391.17,0.001189115406999841,0.0011388710940281514
2017-05-03,2386.5,2388.13,-0.0012713441536987835,-0.0019530188150570945
2017-05-04,2389.79,2389.52,0.000582045366039452,0.0006951045378601057
2017-05-05,2392.37,2399.29,0.004088687267735702,0.0011927081589607573
2017-05-08,2399.94,2399.38,3.751109703298283e-05,0.00027091347857078176
2017-05-09,2401.58,2396.92,-0.0010252648600889147,0.0009169035334127225
2017-05-10,2396.79,2399.63,0.0011306176259533451,-5.423626987972445e-05
2017-05-11,2394.84,2394.44,-0.002162833436821554,-0.001996141071748546
2017-05-12,2392.44,2390.9,-0.0014784250179582514,-0.0008352683717278361
2017-05-15,2393.98,2402.32,0.004776444016897363,0.001288217825923262
2017-05-16,2404.55,2400.67,-0.0006868360584768585,0.0009282693396383571
2017-05-17,2382.95,2357.03,-0.01817825856948263,-0.007381272728030197
2017-05-18,2354.69,2365.72,0.0036868431882495223,-0.0009927748055816622
2017-05-19,2371.37,2381.73,0.00676749573068669,0.002388279255364156
2017-05-22,2387.21,2394.02,0.005160114706536767,0.0023008485428659075
2017-05-23,2397.04,2398.42,0.0018379127993919386,0.0012614765123098311
2017-05-24,2401.41,2404.39,0.0024891386829661855,0.0012466540472476804
2017-05-25,2409.54,2415.07,0.004441875070184231,0.002141915413056988
2017-05-26,2414.5,2415.82,0.0003105500047617671,-0.0002360180036190105
2017-05-30,2411.67,2412.91,-0.0012045599423798903,-0.0017178432167959908
2017-05-31,2415.63,2411.8,-0.00046002544645251664,0.0011272695624786066
2017-06-01,2415.65,2430.06,0.007571108715482167,0.0015963181026618744
2017-06-02,2431.28,2439.07,0.003707727381216941,0.0005020452169906317
2017-06-05,2437.83,2436.1,-0.0012176772294358873,-0.000508390493097876
2017-06-06,2431.92,2429.33,-0.0027790320594393014,-0.0017158573129181219
2017-06-07,2432.03,2433.14,0.001568333655781684,0.0011114175513414286
2017-06-08,2434.27,2433.79,0.0002671445128517025,0.00046442046080377996
2017-06-09,2436.39,2431.77,-0.0008299812227020587,0.0010682926628837776
2017-06-12,2425.88,2429.39,-0.000978710980068076,-0.0024221040641178534
2017-06-13,2434.15,2440.35,0.004511420562363311,0.0019593395873038987
2017-06-14,2443.75,2437.92,-0.0009957588050893973,0.0013932427725531547
2017-06-15,2424.14,2432.46,-0.002239614097263254,-0.005652359388331118
2017-06-16,2431.24,2433.15,0.00028366345181418673,-0.0005015498713237853
2017-06-19,2442.55,2453.46,0.00834720424141544,0.003863304769537468
2017-06-20,2450.66,2437.03,-0.006696665117833511,-0.0011412454248286834
2017-06-21,2439.31,2435.61,-0.0005826764545369123,0.0009355650115098071
2017-06-22,2437.4,2434.5,-0.00045573798760889517,0.0007349288268647129
2017-06-23,2434.65,2438.3,0.0015608954610804027,6.161429451636515e-05
2017-06-26,2443.32,2439.07,0.00031579379075585834,0.002058811467005693
2017-06-27,2436.34,2419.38,-0.008072749039592986,-0.001119279069481408
